file;my-result;my-time;vanillaZ3-result;vanillaZ3-time;cvc5-result;cvc5-time;princess-result;princess-time;noodler-result;noodler-time;z3Str3-result;z3Str3-time
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_150.smt2;UNSAT;857;UNSAT;599;UNSAT;788;UNSAT;3031;UNSAT;542;UNSAT;480
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_151.smt2;SAT;805;SAT;512;SAT;948;SAT;2262;SAT;490;SAT;596
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_152.smt2;UNSAT;712;UNSAT;502;UNSAT;836;UNSAT;2680;UNSAT;612;UNSAT;352
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_153.smt2;SAT;699;SAT;302;SAT;537;SAT;1505;SAT;294;SAT;405
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_154.smt2;UNSAT;726;UNSAT;480;UNSAT;658;UNSAT;2243;UNSAT;317;UNSAT;284
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_155.smt2;SAT;696;SAT;315;SAT;750;SAT;3776;SAT;294;SAT;306
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_156.smt2;SAT;1435;SAT;789;SAT;680;SAT;2139;SAT;416;SAT;446
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_157.smt2;UNSAT;639;UNSAT;496;UNSAT;662;UNSAT;1808;UNSAT;515;UNSAT;566
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_158.smt2;SAT;757;SAT;929;SAT;867;SAT;2803;SAT;752;SAT;1023
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_159.smt2;UNSAT;690;UNSAT;367;UNSAT;662;UNSAT;2046;UNSAT;632;UNSAT;525
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_16.smt2;UNSAT;902;UNSAT;461;UNSAT;1169;UNSAT;4443;UNSAT;314;UNSAT;487
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_160.smt2;UNSAT;728;UNSAT;357;UNSAT;588;UNSAT;1949;UNSAT;369;UNSAT;333
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_161.smt2;UNSAT;1134;UNSAT;750;UNSAT;1329;UNSAT;2475;UNSAT;334;UNSAT;349
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_162.smt2;SAT;712;SAT;726;SAT;533;SAT;2982;SAT;546;SAT;495
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_163.smt2;SAT;1369;SAT;674;SAT;835;SAT;6168;SAT;327;SAT;380
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_164.smt2;SAT;729;SAT;452;SAT;1004;SAT;3836;SAT;521;SAT;410
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_165.smt2;SAT;767;SAT;428;SAT;620;SAT;2380;SAT;461;SAT;419
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_166.smt2;UNSAT;703;UNSAT;345;UNSAT;922;UNSAT;2684;UNSAT;367;UNSAT;325
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_167.smt2;UNSAT;627;UNSAT;379;UNSAT;603;UNSAT;2358;UNSAT;348;UNSAT;338
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_168.smt2;SAT;1167;SAT;883;SAT;627;SAT;2977;SAT;329;SAT;383
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_169.smt2;SAT;742;SAT;481;SAT;1243;SAT;4036;SAT;518;UNKNOWN;4095
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_17.smt2;UNSAT;558;UNSAT;306;UNSAT;566;UNSAT;1792;UNSAT;404;UNSAT;280
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_170.smt2;SAT;2145;UNKNOWN;10000;SAT;1603;SAT;3221;SAT;711;UNKNOWN;3016
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_171.smt2;SAT;712;SAT;460;SAT;598;SAT;5257;SAT;711;UNKNOWN;10000
/mnt/c/Users/Clemens/Downloads/QF_S/20230329-woorpje-lu/track04/04_track_172.smt2;SAT;652;SAT;406;SAT;896;SAT;2268;SAT;735;SAT;713
